track_id,available_markets,popularity,genre,artist_name,track_name,popularity_y,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
1fewSx2d5KIZ04wsooEBOz,AD,0.08333333333333333,Hip-Hop,Metro Boomin,Space Cadet (feat. Gunna),0.8421052631578947,0.4030278427814127,0.9234375000000001,0.30676361438590155,0.30780346820809257,0.00011476510067114094,F,0.3245747010274549,0.4743141773845811,Minor,0.14552501761804087,0.34317959919906005,4/4,0.6398650854096399
4EWCNWgDS8707fNSZ1oaA5,AE,0.5,Rap,Kanye West,Heartless,0.5789473684210527,0.04385872286953234,0.7484375000000002,0.3352619689035154,0.5765895953757226,0.0,A#,0.34310257705912073,0.744108244740168,Minor,0.34460887949260044,0.16924820864154627,4/4,0.617016646719617
4HlFJV71xXKIGcU3kRyttv,AG,0.16666666666666666,Dance,Train,"Hey, Soul Sister",0.7105263157894737,0.20257664136673106,0.5671875000000002,0.3565371532601926,0.9176300578034683,0.0,C#,0.0628263432710123,0.8719797784551333,Minor,0.07011980267794221,0.2439557166261232,4/4,0.8106843651398108
5TXDeTFVRVY7Cvt0Dw4vWW,AL,0.4166666666666667,Rap,XXXTENTACION,Revenge,0.6578947368421053,0.8565076099162662,0.6812500000000001,0.0,0.0,0.013624161073825504,B,0.10224018864746505,0.0,Minor,0.8308668076109937,0.5996375912227573,4/4,0.14155151778914155
50a8bKqlwDEqeiEknrzkTO,AM,0.08333333333333333,Rap,21 Savage,ball w/o you,0.5526315789473685,0.051088110461537245,0.9093750000000003,0.27647052320074883,0.5520231213872833,0.0012684563758389262,G#,0.15782381674246254,0.6466433722399821,Major,0.2360817477096547,0.5830478743649572,4/4,0.44510934609944514
5E30LdtzQTGqRvNd7l6kG5,AO,0.3333333333333333,Children’s Music,The Neighbourhood,Daddy Issues,0.5263157894736842,0.07420024352082567,0.434375,0.5164787782523613,0.39017341040462433,1.0,A#,0.1308741788782213,0.49869898148836517,Major,0.034178999295278366,0.14466564066921508,4/4,0.3123707975193124
6qn9YLKt13AGvpq9jfO8py,AR,0.16666666666666666,Dance,Rihanna,We Found Love,0.5,0.027318760348430195,0.6625000000000001,0.35083969353120886,0.7442196531791908,0.009261744966442952,C#,0.10560889338049521,0.8686343022823583,Major,0.05320648343904159,0.5002399510168959,4/4,0.5985202915895985
6VObnIkLVruX4UVyxWhlqm,AT,0.25,Soul,Adele,Skyfall - Full Length,0.2894736842105263,0.4567005688432673,0.056249999999999974,0.6134277259175454,0.43497109826589603,0.0,C,0.11571500757958567,0.6917701286149728,Minor,0.01761804087385483,0.06911416703900441,4/4,0.031552605810031546
6qn9YLKt13AGvpq9jfO8py,AU,0.16666666666666666,Pop,Rihanna,We Found Love,0.5263157894736842,0.027318760348430195,0.6625000000000001,0.35083969353120886,0.7442196531791908,0.009261744966442952,C#,0.10560889338049521,0.8686343022823583,Major,0.05320648343904159,0.5002399510168959,4/4,0.5985202915895985
0pqnGHJpmpxLKifKRmU6WP,AZ,0.5833333333333334,Rock,Imagine Dragons,Believer,0.8947368421052632,0.06806621768518514,0.7281250000000001,0.31074372855621357,0.7644508670520233,0.0,A#,0.06013137948458818,0.8768864768418706,Minor,0.3692741367159972,0.47511128762680166,4/4,0.6703296703296704
6n3HGiq4v35D6eFOSwqYuo,BA,0.08333333333333333,Rap,Drake,Teenage Fever,0.5263157894736842,0.12042450963940253,0.7156250000000002,0.3672945173927304,0.04479768786127164,0.1395973154362416,G#,0.11403065521307058,0.43275592892721726,Minor,0.22233967582804792,0.2442122159890119,4/4,0.1361114133391361
4HlFJV71xXKIGcU3kRyttv,BB,0.16666666666666666,Pop,Train,"Hey, Soul Sister",0.7368421052631579,0.20257664136673106,0.5671875000000002,0.3565371532601926,0.9176300578034683,0.0,C#,0.0628263432710123,0.8719797784551333,Minor,0.07011980267794221,0.2439557166261232,4/4,0.8106843651398108
0y1QJc3SJVPKJ1OvFmFqe6,BD,0.25,Rock,KALEO,Way Down We Go,0.5526315789473685,0.6341491733742969,0.27968750000000003,0.34523805136558455,0.3670520231213873,0.0022348993288590605,A#,0.09887148391443489,0.6056798751022229,Minor,0.3305144467935166,0.7920617584272451,4/4,0.3123707975193124
3GZD6HmiNUhxXYf8Gch723,BE,0.25,Alternative,Frank Ocean,Lost,0.21052631578947367,0.03104299032006909,0.9328125000000002,0.4203663916211226,0.4985549132947977,0.0012953020134228188,A#,0.24372578743473133,0.8335439744256932,Minor,0.7498238195912614,0.459357262241639,4/4,0.481014035469481
1zi7xx7UVEFkmKfv06H8x0,BF,0.5,Pop,Drake,One Dance,0.7368421052631579,0.009157662427908766,0.7593750000000001,0.1988582968796642,0.5187861271676301,0.019194630872483222,C#,0.5149065184436583,0.7666344509701881,Major,0.10007047216349543,0.3016928957950652,4/4,0.37112392557937113
0KKkJNfGyhkQ5aFogxQAPU,BG,0.5,Dance,Bruno Mars,That's What I Like,0.7894736842105263,0.014174419272057629,0.8484375000000001,0.31938942100394696,0.4465317919075146,0.0,C#,0.08270170119589018,0.833246598765891,Major,0.06131078224101479,0.5505469228350627,4/4,0.8814057229898814
4EWCNWgDS8707fNSZ1oaA5,BH,0.5,Pop,Kanye West,Heartless,0.5789473684210527,0.04385872286953234,0.7484375000000002,0.3352619689035154,0.5765895953757226,0.0,A#,0.34310257705912073,0.744108244740168,Minor,0.34460887949260044,0.16924820864154627,4/4,0.617016646719617
